51300011693,bbd,143,235
51300013017,aba,3,97
51300083085,fgc,31,22
51300111067,bbb,49,89
51300156180,dfa,206,54
51300217956,bec,197,141
51300234348,gfd,124,203
51300329618,fbb,265,9
51300336544,aea,247,244
51300342442,edf,176,70
51300357968,cab,294,223
51300358846,dbd,168,137
51300395933,gbe,131,8
51300437604,ege,270,137
51300457805,efg,119,191
51300498984,fac,1,48
51300511511,cga,205,266
51300565829,abb,299,32
51300573232,efe,78,103
51300605419,ebf,118,239
51300626339,dda,126,45
51300641861,baf,145,264
51300656498,aee,153,143
51300661265,edc,156,57
51300683111,abf,7,192
51300764982,bba,73,126
51300798579,ddb,50,48
51300874043,gca,5,148
51300909421,fee,278,260
51300924718,eba,33,60
51300929865,dfb,210,249
51300962071,ffg,153,230
51300963433,acf,25,166
51301000427,abb,144,29
51301016039,eac,79,29
51301060354,fed,1,207
51301071026,cgd,89,233
51301105417,cbg,132,57
51301176016,fde,280,121
51301182794,gbb,12,168
51301189683,gbe,78,7
51301208518,fgf,40,54
51301218190,ggg,59,8
51301223520,acc,88,55
51301228087,ebf,40,270
51301261786,geg,275,209
51301265212,aaa,32,149
51301370867,dac,172,5
51301371781,cgg,264,262
51301440916,gad,171,193
51301448232,cea,122,31
51301484806,bag,172,256
51301489269,edb,210,142
51301522013,bge,289,266
51301550618,acb,78,258
51301554754,gfc,24,176
51301564243,cab,184,236
51301644446,cge,206,187
51301657919,gec,33,234
51301662073,fba,116,186
51301675011,gbf,137,227
51301678168,dfa,45,46
51301717573,dcc,248,239
51301724874,dad,192,261
51301780378,gda,23,169
51301787084,eae,155,199
51301846460,ece,5,94
51301871034,fef,258,9
51301881827,abc,98,262
51301886177,ggc,281,259
51301901461,bdg,105,37
51301902597,eae,292,236
51301907307,bcf,240,182
51301927434,edd,96,209
51301953622,aef,239,103
51302024186,dbb,276,235
51302089892,aec,27,291
51302101790,ffg,77,184
51302108347,dgg,111,150
51302113626,bfb,212,208
51302161722,geb,99,149
51302195753,cac,218,163
51302200719,dfb,176,224
51302209240,fgf,127,51
51302232495,ddb,247,49
51302237511,aeg,3,148
51302239795,fee,94,257
51302272104,fcf,217,234
51302293925,aaf,227,153
51302295316,dfa,164,40
51302297951,cdg,206,114
51302301779,fbd,47,95
51302312861,ggb,170,123
51302325416,ffd,72,145
51302379109,eaf,176,97
51302423392,bdf,123,150
51302428160,efe,267,101
51302453858,gaa,63,262
51302474265,fdf,148,39
51302482444,cae,296,130
51302493954,eff,281,136
51302504028,abc,12,259
51302516505,ead,157,218
